tombo,Estoque,Alugados,Nome,Autor,Data-lancamento,Editora
1,2,0,como fazer amigos e influenciar pessoas,Dale Carnegie,2016,Editora Nacional
2,2,0,saruê zambi!,luiz galdino,1996,FTD
3,1,0,O Aprendizado de Pequena Árvore,Forrest carter,2006,Editora Record
4,4,0,quem manda já morreu,Marcos Rey,1996,Editora Ática
5,3,0,Lendas De Exu,Adilson Martins,2009,Pallas Editora
6,5,0,Luna Clara & Apolo Onze,Adriana Falcão,2012,Editora moderna LTDA
7,3,0,A Divina Comedia: Paraiso,Dante Alighieri,2019,Editora 34
8,2,0,A Divina Comedia: purgatorio,Dante Alighieri,2020,Editora 34
9,5,0,A Divina Comedia: Inferno,Dante Alighieri,2021,Editora 34
10,4,0,A Lista negra,Jennifer Brown,2012,Editora Gutenberg
11,7,0,Dez Ajustada,Maria Beaumont,2009,Editora Bertrand Brasil
12,4,0,Em Busca do Tempo Perdido ,Marcel Proust ,2017,Nova Fronteira 
13,2,0,Ulysses ,James Joyce ,2018, Penguin-Companhia
14,4,0,Dom Quixote  ,Miguel de Cervantes ,2018,Pé da Letra 
15,1,0,O Grande Gatsby ,F. Scott Fitzgerald ,2020,Pocket Books 
16,3,0,Cem Anos de Solidão ,Gabriel García Márquez ,1977,Editora Record
17,1,0,Moby Dick ,Herman Melville ,2019, Editora 34 
18,1,0,Guerra e Paz ,Lev Tolstói ,2022,Editora Garnier
19,2,0,Lolita,Vladimir Nabokov ,2011, Alfaguara 
20,1,0,Hamlet ,William Shakespeare ,2015,Penguin-Companhia 
21,2,0,O Apanhador no Campo de Centeio , J.D. Salinger ,2019,Todavia 
22,4,0,Odisseia ,Homero ,2020,Principis 
23,1,0,Os Irmãos Karamazov ,Fiódor Dostoiévski ,2013,Martin Claret 
24,3,0,Crime e Castigo , Fiódor Dostoiévski ,2022,vitrola 
25,0,2,Madame Bovary ,Gustave Flaubert ,2020,Principis 
26,2,0,As Aventuras de Huckleberry Finn  ,Mark Twain ,2019,Principis 
27,1,0,Alice no País das Maravilhas ,Lewis Carroll ,2019,Darkside 
28,3,0,Orgulho e Preconceito ,Jane Austen ,2018,Martin Claret 
29,1,0,O Morro dos Ventos Uivantes ,Emily Brontë ,2019,Principis 
